Species,Cohort,SN,RN
Winter_Skate,2,1200,3180
Winter_Skate,3,1800,4770
Winter_Skate,4,3129.99,8294.48
Winter_Skate,5,7000,18550
Winter_Skate,6,9000,23850
Winter_Skate,7,13000,34450
Winter_Skate,8,18000,40770
Winter_Skate,9,30000,79500
Winter_Skate,10,32000,85500
Winterflounder,1,476.0273973,1261.472603
Winterflounder,2,1129.488104,2993.143474
Winterflounder,3,1548.906513,4104.60226
Winterflounder,4,2095.457822,5552.96323
Winterflounder,5,2636.890171,6987.758953
Winterflounder,6,2919.850997,7737.605143
Winterflounder,7,3445.56597,9130.749819
Winterflounder,8,3970.920452,10522.9392
Winterflounder,9,4109.589041,10890.41096
Winterflounder,10,4373.94857,11590.96371
Witchflounder,1,476.0273973,1261.472603
Witchflounder,2,1129.488104,2993.143474
Witchflounder,3,1548.906513,4104.60226
Witchflounder,4,2095.457822,5552.96323
Witchflounder,5,2636.890171,6987.758953
Witchflounder,6,2919.850997,7737.605143
Witchflounder,7,3445.56597,9130.749819
Witchflounder,8,3970.920452,10522.9392
Witchflounder,9,4109.589041,10890.41096
Witchflounder,10,4373.94857,11590.96371
Wolffish,1,127.5414564,337.9848595
Wolffish,2,347.4885845,920.8447489
Wolffish,3,732.4200913,1940.913242
Wolffish,4,1115.200673,2955.281782
Wolffish,5,1550.432588,4108.646359
Wolffish,6,1976.435953,5237.555275
Wolffish,7,2275.666907,6030.517304
Wolffish,8,2451.333814,6496.034608
Wolffish,9,2643.59529,7005.527518
Wolffish,10,3076.18361,8151.886566
Yellowtail_Flounder,1,37.01033405,98.07738524
Yellowtail_Flounder,2,236.0009613,625.4025475
Yellowtail_Flounder,3,518.3850036,1373.72026
Yellowtail_Flounder,4,871.9057917,2310.550348
Yellowtail_Flounder,5,1241.768805,3290.687334
Yellowtail_Flounder,6,1659.216534,4396.923816
Yellowtail_Flounder,7,2118.481134,5613.975006
Yellowtail_Flounder,8,2453.016102,6500.492671
Yellowtail_Flounder,9,2682.287911,7108.062965
Yellowtail_Flounder,10,2907.954819,7706.080269
