"agecl","box","measurement","Code"
6,"17",776.613396327147,"BIL"
7,"17",497.805212057108,"BIL"
8,"17",365.077858574134,"BIL"
9,"17",240.30048227685,"BIL"
10,"17",71.549794671215,"BIL"
1,"18",165.645227767474,"BIL"
2,"18",371.102450660165,"BIL"
3,"18",1582.04545995242,"BIL"
4,"18",1257.27647007761,"BIL"
5,"18",971.201509786276,"BIL"
6,"18",776.613396327147,"BIL"
7,"18",497.805212057108,"BIL"
8,"18",365.077858574134,"BIL"
9,"18",240.30048227685,"BIL"
10,"18",71.549794671215,"BIL"
1,"19",165.645227767474,"BIL"
2,"19",371.102450660165,"BIL"
3,"19",1582.04545995242,"BIL"
4,"19",1257.27647007761,"BIL"
5,"19",971.201509786276,"BIL"
6,"19",776.613396327147,"BIL"
7,"19",497.805212057108,"BIL"
8,"19",365.077858574134,"BIL"
9,"19",240.30048227685,"BIL"
10,"19",71.549794671215,"BIL"
1,"20",165.645227767474,"BIL"
2,"20",371.102450660165,"BIL"
3,"20",1582.04545995242,"BIL"
4,"20",1257.27647007761,"BIL"
5,"20",971.201509786276,"BIL"
6,"20",776.613396327147,"BIL"
7,"20",497.805212057108,"BIL"
8,"20",365.077858574134,"BIL"
9,"20",240.30048227685,"BIL"
10,"20",71.549794671215,"BIL"
1,"21",165.645227767474,"BIL"
2,"21",371.102450660165,"BIL"
3,"21",1582.04545995242,"BIL"
4,"21",1257.27647007761,"BIL"
5,"21",971.201509786276,"BIL"
6,"21",776.613396327147,"BIL"
7,"21",497.805212057108,"BIL"
8,"21",365.077858574134,"BIL"
9,"21",240.30048227685,"BIL"
10,"21",71.549794671215,"BIL"
1,"22",165.645227767474,"BIL"
2,"22",371.102450660165,"BIL"
3,"22",1582.04545995242,"BIL"
4,"22",1257.27647007761,"BIL"
5,"22",971.201509786276,"BIL"
6,"22",776.613396327147,"BIL"
7,"22",497.805212057108,"BIL"
8,"22",365.077858574134,"BIL"
9,"22",240.30048227685,"BIL"
10,"22",71.549794671215,"BIL"
1,"23",0,"BIL"
2,"23",0,"BIL"
3,"23",0,"BIL"
4,"23",0,"BIL"
5,"23",0,"BIL"
6,"23",0,"BIL"
7,"23",0,"BIL"
8,"23",0,"BIL"
9,"23",0,"BIL"
10,"23",0,"BIL"
1,"24",0,"BIL"
2,"24",0,"BIL"
3,"24",0,"BIL"
4,"24",0,"BIL"
5,"24",0,"BIL"
6,"24",0,"BIL"
7,"24",0,"BIL"
8,"24",0,"BIL"
9,"24",0,"BIL"
10,"24",0,"BIL"
1,"25",0,"BIL"
2,"25",0,"BIL"
3,"25",0,"BIL"
4,"25",0,"BIL"
5,"25",0,"BIL"
6,"25",0,"BIL"
7,"25",0,"BIL"
8,"25",0,"BIL"
9,"25",0,"BIL"
10,"25",0,"BIL"
1,"26",0,"BIL"
2,"26",0,"BIL"
3,"26",0,"BIL"
4,"26",0,"BIL"
5,"26",0,"BIL"
6,"26",0,"BIL"
7,"26",0,"BIL"
8,"26",0,"BIL"
9,"26",0,"BIL"
10,"26",0,"BIL"
1,"27",0,"BIL"
2,"27",0,"BIL"
3,"27",0,"BIL"
4,"27",0,"BIL"
5,"27",0,"BIL"
6,"27",0,"BIL"
7,"27",0,"BIL"
8,"27",0,"BIL"
9,"27",0,"BIL"
10,"27",0,"BIL"
1,"28",0,"BIL"
2,"28",0,"BIL"
3,"28",0,"BIL"
4,"28",0,"BIL"
5,"28",0,"BIL"
6,"28",0,"BIL"
7,"28",0,"BIL"
8,"28",0,"BIL"
9,"28",0,"BIL"
10,"28",0,"BIL"
1,"29",0,"BIL"
2,"29",0,"BIL"
3,"29",0,"BIL"
4,"29",0,"BIL"
5,"29",0,"BIL"
6,"29",0,"BIL"
7,"29",0,"BIL"
8,"29",0,"BIL"
9,"29",0,"BIL"
10,"29",0,"BIL"
1,"0",0,"BLF"
2,"0",0,"BLF"
3,"0",0,"BLF"
4,"0",0,"BLF"
5,"0",0,"BLF"
6,"0",0,"BLF"
7,"0",0,"BLF"
8,"0",0,"BLF"
9,"0",0,"BLF"
10,"0",0,"BLF"
1,"1",8045591.02817352,"BLF"
2,"1",13877823.1571181,"BLF"
3,"1",47740068.9186217,"BLF"
4,"1",31862187.6779557,"BLF"
5,"1",21402077.5518489,"BLF"
6,"1",15327932.3883324,"BLF"
7,"1",9017523.33450835,"BLF"
8,"1",6190987.05262357,"BLF"
9,"1",3874675.44424962,"BLF"
10,"1",1110730.94165727,"BLF"
1,"2",1154581.22198447,"BLF"
2,"2",1991534.73786094,"BLF"
3,"2",6850930.76651178,"BLF"
4,"2",4572378.02114136,"BLF"
5,"2",3071301.63169999,"BLF"
6,"2",2199632.42544206,"BLF"
7,"2",1294058.20832453,"BLF"
8,"2",888436.582406162,"BLF"
9,"2",556034.664644212,"BLF"
10,"2",159395.261755648,"BLF"
1,"3",118269.116938272,"BLF"
2,"3",204002.152740602,"BLF"
3,"3",701772.657074693,"BLF"
4,"3",468369.916790164,"BLF"
5,"3",314607.69057711,"BLF"
6,"3",225318.565374452,"BLF"
7,"3",132556.392440032,"BLF"
8,"3",91006.6854164085,"BLF"
9,"3",56957.2131629764,"BLF"
10,"3",16327.5969615923,"BLF"
1,"4",175090.222125806,"BLF"
2,"4",302012.75837831,"BLF"
3,"4",1038931.66356485,"BLF"
4,"4",693393.126547455,"BLF"
5,"4",465757.518544619,"BLF"
6,"4",333570.408588332,"BLF"
7,"4",196241.663059294,"BLF"
8,"4",134729.853211036,"BLF"
9,"4",84321.6839910744,"BLF"
10,"4",24172.0125489558,"BLF"
1,"5",157239.15024818,"BLF"
2,"5",271221.48178779,"BLF"
3,"5",933008.879430668,"BLF"
4,"5",622699.227189917,"BLF"
5,"5",418271.8803397,"BLF"
6,"5",299561.71713964,"BLF"
7,"5",176234.126429754,"BLF"
8,"5",120993.664721858,"BLF"
9,"5",75724.7879251958,"BLF"
10,"5",21707.5897605247,"BLF"
1,"6",202284.716948562,"BLF"
2,"6",348920.485688314,"BLF"
3,"6",1200295.4530614,"BLF"
4,"6",801088.893684472,"BLF"
5,"6",538097.597122054,"BLF"
6,"6",385379.576680324,"BLF"
7,"6",226721.337054113,"BLF"
8,"6",155655.695049227,"BLF"
9,"6",97418.2782548805,"BLF"
10,"6",27926.3379598052,"BLF"
1,"7",228022.704685097,"BLF"
2,"7",393315.886967962,"BLF"
3,"7",1353016.77633847,"BLF"
4,"7",903016.594563466,"BLF"
5,"7",606563.221044141,"BLF"
6,"7",434413.902990953,"BLF"
7,"7",255568.553397171,"BLF"
8,"7",175460.771926673,"BLF"
9,"7",109813.433404817,"BLF"
10,"7",31479.5858510859,"BLF"
1,"8",5562.1283049539,"BLF"
2,"8",9594.10349383306,"BLF"
3,"8",33003.963000714,"BLF"
4,"8",22027.1668446393,"BLF"
5,"8",14795.8180970306,"BLF"
6,"8",10596.6020762204,"BLF"
7,"8",6234.0506252202,"BLF"
8,"8",4279.99188629129,"BLF"
9,"8",2678.66485948679,"BLF"
10,"8",767.87746085355,"BLF"
1,"9",108255.752090981,"BLF"
2,"9",186730.1206336,"BLF"
3,"9",642356.421991025,"BLF"
4,"9",428714.941918209,"BLF"
5,"9",287971.137679225,"BLF"
6,"9",206241.759354667,"BLF"
7,"9",121333.382116588,"BLF"
8,"9",83301.5197044431,"BLF"
9,"9",52134.8777059228,"BLF"
10,"9",14945.2057703121,"BLF"
1,"10",0,"BLF"
2,"10",0,"BLF"
3,"10",0,"BLF"
4,"10",0,"BLF"
5,"10",0,"BLF"
6,"10",0,"BLF"
7,"10",0,"BLF"
8,"10",0,"BLF"
9,"10",0,"BLF"
10,"10",0,"BLF"
1,"11",0,"BLF"
2,"11",0,"BLF"
3,"11",0,"BLF"
4,"11",0,"BLF"
5,"11",0,"BLF"
6,"11",0,"BLF"
7,"11",0,"BLF"
8,"11",0,"BLF"
9,"11",0,"BLF"
10,"11",0,"BLF"
1,"12",25224.7417129339,"BLF"
2,"12",43510.1042857194,"BLF"
3,"12",149675.878827671,"BLF"
4,"12",99895.1415466013,"BLF"
5,"12",67100.338119986,"BLF"
6,"12",48056.5236456935,"BLF"
7,"12",28271.9686107344,"BLF"
8,"12",19410.1401380825,"BLF"
9,"12",12147.9810445737,"BLF"
10,"12",3482.39191101775,"BLF"
1,"13",204717.16065513,"BLF"
2,"13",353116.202756355,"BLF"
3,"13",1214728.82778621,"BLF"
4,"13",810721.868766517,"BLF"
5,"13",544568.140885237,"BLF"
6,"13",390013.708907793,"BLF"
7,"13",229447.627491576,"BLF"
8,"13",157527.431686207,"BLF"
