pred.names,prey.names,R/J,Bio_JC.pprey,Bio_Orig.pprey,Bio_RG.pprey,final.value
1DSH2,PSH,J,0.01,0,0,0
2DSH2,PSH,J,0.01,0,0,0
2WTF1,WSK,J,0.05,0.1,0.1,0.1
2WTF2,WSK,J,0.06,0.12,0.12,0.12
1GOO1,WSK,J,0.005,0.09,0.09,0.09
2GOO1,WSK,J,0.005,0.09,0.09,0.09
1GOO2,WSK,J,0.005,0.09,0.09,0.09
2GOO2,WSK,J,0.005,0.09,0.09,0.09
2WTF1,LSK,J,0.05,0.1,0.1,0.1
2WTF2,LSK,J,0.06,0.12,0.12,0.12
1GOO1,LSK,J,0.005,0.03,0.03,0.03
2GOO1,LSK,J,0.005,0.09,0.09,0.09
1GOO2,LSK,J,0.005,0.03,0.03,0.03
2GOO2,LSK,J,0.005,0.09,0.09,0.09
1BSB1,LSK,J,0.05,0.1,0.1,0.1
1BSB2,LSK,J,0.015,0.03,0.03,0.03
1LSK1,LSK,J,0.01,0.0765,0.0765,0.0765
2LSK1,LSK,J,0.01,0.0765,0.0765,0.0765
1LSK2,LSK,J,0.01,0.03,0.03,0.03
2LSK2,LSK,J,0.01,0.03,0.03,0.03
2WTF1,SK,J,0.05,0.1,0.1,0.1
2WTF2,SK,J,0.06,0.12,0.12,0.12
1GOO1,SK,J,0.005,0.09,0.09,0.09
2GOO1,SK,J,0.005,0.09,0.09,0.09
1GOO2,SK,J,0.005,0.09,0.09,0.09
2GOO2,SK,J,0.005,0.09,0.09,0.09
1GOO1,SB,J,0,0.05,0.05,0.05
2GOO1,SB,J,0,0.05,0.05,0.05
1GOO2,SB,J,0,0.05,0.05,0.05
2GOO2,SB,J,0,0.05,0.05,0.05
1WOL1,SB,J,0,0.05,0.05,0.05
1WOL2,SB,J,0,0.05,0.05,0.05
2WOL1,SB,J,0,0.05,0.05,0.05
2WOL2,SB,J,0,0.05,0.05,0.05
1POR1,RWH,J,0.0125,0,0,0
2POR1,RWH,J,0.0125,0,0,0
1POR2,RWH,J,0.0125,0.05,0.05,0.05
2POR2,RWH,J,0.0125,0,0,0
1PSH1,RWH,J,0.01,0,0,0
2PSH1,RWH,J,0.01,0,0,0
1PSH2,RWH,J,0.01,0.05,0.05,0.05
2PSH2,RWH,J,0.01,0,0,0
1POR1,BWH,J,0.0125,0,0,0
2POR1,BWH,J,0.0125,0,0,0
1POR2,BWH,J,0.0125,0.05,0.05,0.05
2POR2,BWH,J,0.0125,0,0,0
1PSH1,BWH,J,0.01,0,0,0
2PSH1,BWH,J,0.01,0,0,0
1PSH2,BWH,J,0.01,0.05,0.05,0.05
2PSH2,BWH,J,0.01,0,0,0
1POR1,SWH,J,0.0125,0.05,0.05,0.05
2POR1,SWH,J,0.0125,0.05,0.05,0.05
1POR2,SWH,J,0.0125,0.05,0.05,0.05
2POR2,SWH,J,0.0125,0.05,0.05,0.05
1PSH1,SWH,J,0.01,0.05,0.05,0.05
2PSH1,SWH,J,0.01,0.05,0.05,0.05
1PSH2,SWH,J,0.01,0.05,0.05,0.05
2PSH2,SWH,J,0.01,0.05,0.05,0.05
1POR1,TWH,J,0.0125,0,0,0
2POR1,TWH,J,0.0125,0,0,0
1POR2,TWH,J,0.0125,0,0,0
2POR2,TWH,J,0.0125,0,0,0
1PSH1,TWH,J,0.01,0,0,0
2PSH1,TWH,J,0.01,0,0,0
1PSH2,TWH,J,0.01,0,0,0
